hour,total_checkouts,total_pageviews,FB_Conversion_Rate,average_order_value,FB_CTR,discounts,total_sales_lag1,total_sales_lag7,total_sales_rolling_mean
2021-07-23,0.6666666666666666,23.958333333333332,0.11392405063291129,53.715,1.094878,-11.166666666666666,2067.0,2853.0,2704.714285714286
2021-07-24,0.2916666666666667,23.458333333333332,0.0365853658536585,54.821,1.178104,-14.958333333333334,2410.0,2329.0,2700.4285714285716
2021-07-25,0.3333333333333333,20.041666666666668,0.0432692307692307,57.98499999999999,1.115717,-9.25,2299.0,3201.0,2583.0
2021-07-26,0.4583333333333333,22.083333333333332,0.0405405405405405,53.988,0.889757,-8.583333333333334,2379.0,3350.0,2350.4285714285716
2021-07-27,0.4583333333333333,22.375,0.0239520958083832,47.34,1.049338,-7.375,1722.0,2853.0,2222.4285714285716
2021-07-28,0.4583333333333333,21.416666666666668,0.1550650820599886,50.237,2.02308,-4.583333333333333,1957.0,2723.0,2019.2857142857142
2021-07-29,0.5,24.25,0.0297619047619047,63.112,0.902962,-8.625,1301.0,2067.0,2056.714285714286
2021-07-30,0.4583333333333333,30.875,0.1611111111111111,54.267,2.140958,-7.875,2329.0,2410.0,1936.5714285714287
2021-07-31,0.5,29.208333333333332,0.6968414197329861,59.936,2.4794400000000003,-11.666666666666666,1569.0,2299.0,1973.7142857142858
2021-08-01,0.375,25.208333333333332,0.0478468899521531,57.993,1.038701,-8.083333333333334,2559.0,2379.0,1964.5714285714287
2021-08-02,0.3333333333333333,20.5,0.0326086956521739,64.484,1.046019,-33.208333333333336,2315.0,1722.0,2141.285714285714
2021-08-03,0.4166666666666667,23.166666666666668,0.0481283422459893,56.99100000000001,1.057698,-7.083333333333333,2959.0,1957.0,2129.4285714285716
2021-08-04,0.2916666666666667,21.625,0.1306818181818181,47.51500000000001,1.113459,-5.5,1874.0,1301.0,2213.5714285714284
2021-08-05,0.16666666666666666,17.5,0.0177514792899408,49.778,1.301048,-2.5,1890.0,2329.0,2086.4285714285716
2021-08-06,0.3333333333333333,18.666666666666668,0.0526315789473684,52.842000000000006,1.149916,-3.125,1439.0,1569.0,2148.285714285714
2021-08-07,0.2916666666666667,23.708333333333332,0.0377358490566037,50.03900000000001,1.387894,-1.875,2002.0,2559.0,2061.0
2021-08-08,0.2916666666666667,22.041666666666668,0.0365853658536585,46.455000000000005,1.4596790000000002,-5.5,1948.0,2315.0,2074.4285714285716
2021-08-09,0.16666666666666666,16.666666666666668,0.0346820809248554,48.008,1.378035,-2.25,2409.0,2959.0,1805.2857142857142
2021-08-10,0.16666666666666666,17.916666666666668,0.0628571428571428,48.508,1.5,-3.5416666666666665,1075.0,1874.0,1809.857142857143
2021-08-11,0.08333333333333333,13.958333333333334,0.014705882352941102,56.22,1.206605,-2.2916666666666665,1906.0,1890.0,1643.0
2021-08-12,0.20833333333333334,15.666666666666666,0.0357142857142857,54.434,1.103027,-7.208333333333333,722.0,1439.0,1697.142857142857
2021-08-13,0.16666666666666666,21.083333333333332,0.0401155518494252,53.055,2.677813,-15.958333333333334,1818.0,2002.0,1596.142857142857
2021-08-14,0.4166666666666667,25.041666666666668,0.1210494931425164,45.828,4.433698,-4.583333333333333,1295.0,1948.0,1502.857142857143
2021-08-15,0.375,29.791666666666668,0.0289855072463768,159.386,1.913876,-30.625,1295.0,2409.0,2038.2857142857142
2021-08-16,0.375,21.625,0.026595744680851,47.52,0.966079,-6.125,6157.0,1075.0,2126.714285714286
2021-08-17,0.5,31.083333333333332,0.0760577915376677,46.65200000000001,2.462555,-3.125,1694.0,1906.0,2020.2857142857142
2021-08-18,0.20833333333333334,16.25,3.0,49.056000000000004,3.051539,-2.9583333333333335,1161.0,722.0,2017.857142857143
